Id,País,ano,volume,valor
1,África do Sul,2009,0,0
1,África do Sul,2010,0,0
1,África do Sul,2011,0,0
1,África do Sul,2012,0,0
1,África do Sul,2013,0,0
1,África do Sul,2014,0,0
1,África do Sul,2015,0,0
1,África do Sul,2016,0,0
1,África do Sul,2017,0,0
1,África do Sul,2018,0,0
1,África do Sul,2019,0,0
1,África do Sul,2020,0,0
1,África do Sul,2021,0,0
1,África do Sul,2022,0,0
1,África do Sul,2023,2,44
2,Alemanha,2009,6648,29018
2,Alemanha,2010,1958,6877
2,Alemanha,2011,1976,12018
2,Alemanha,2012,833,5072
2,Alemanha,2013,5809,30461
2,Alemanha,2014,9236,62169
2,Alemanha,2015,6256,30939
2,Alemanha,2016,4293,19088
2,Alemanha,2017,4824,28799
2,Alemanha,2018,4092,21373
2,Alemanha,2019,1003,5466
2,Alemanha,2020,2388,14767
2,Alemanha,2021,142,265
2,Alemanha,2022,1164,6560
2,Alemanha,2023,162,1542
3,Angola,2009,11393,33664
3,Angola,2010,104138,672533
3,Angola,2011,904,14196
3,Angola,2012,73,1426
3,Angola,2013,5850,21060
3,Angola,2014,6866,22423
3,Angola,2015,0,0
3,Angola,2016,90,1010
3,Angola,2017,0,0
3,Angola,2018,63,280
3,Angola,2019,1007,3615
3,Angola,2020,24,38
3,Angola,2021,0,0
3,Angola,2022,26383,141588
3,Angola,2023,56242,315073
4,Antigua e Barbuda,2009,0,0
4,Antigua e Barbuda,2010,0,0
4,Antigua e Barbuda,2011,0,0
4,Antigua e Barbuda,2012,0,0
4,Antigua e Barbuda,2013,0,0
4,Antigua e Barbuda,2014,0,0
4,Antigua e Barbuda,2015,0,0
4,Antigua e Barbuda,2016,0,0
4,Antigua e Barbuda,2017,0,0
4,Antigua e Barbuda,2018,0,0
4,Antigua e Barbuda,2019,7,34
4,Antigua e Barbuda,2020,32,328
4,Antigua e Barbuda,2021,10,82
4,Antigua e Barbuda,2022,65,146
4,Antigua e Barbuda,2023,24,100
5,Antilhas Holandesas,2009,180,1660
5,Antilhas Holandesas,2010,0,0
5,Antilhas Holandesas,2011,9144,65766
5,Antilhas Holandesas,2012,0,0
5,Antilhas Holandesas,2013,0,0
5,Antilhas Holandesas,2014,0,0
5,Antilhas Holandesas,2015,0,0
5,Antilhas Holandesas,2016,0,0
5,Antilhas Holandesas,2017,0,0
5,Antilhas Holandesas,2018,0,0
5,Antilhas Holandesas,2019,0,0
5,Antilhas Holandesas,2020,0,0
5,Antilhas Holandesas,2021,0,0
5,Antilhas Holandesas,2022,0,0
5,Antilhas Holandesas,2023,0,0
6,Argentina,2009,0,0
6,Argentina,2010,0,0
6,Argentina,2011,0,0
6,Argentina,2012,0,0
6,Argentina,2013,0,0
6,Argentina,2014,0,0
6,Argentina,2015,0,0
6,Argentina,2016,0,0
6,Argentina,2017,0,0
6,Argentina,2018,4342,17243
6,Argentina,2019,0,0
6,Argentina,2020,315,894
6,Argentina,2021,0,0
6,Argentina,2022,0,0
6,Argentina,2023,8593,73239
7,Aruba,2009,0,0
7,Aruba,2010,0,0
7,Aruba,2011,0,0
7,Aruba,2012,0,0
7,Aruba,2013,0,0
7,Aruba,2014,0,0
7,Aruba,2015,0,0
7,Aruba,2016,0,0
7,Aruba,2017,0,0
7,Aruba,2018,18,7
7,Aruba,2019,0,0
7,Aruba,2020,0,0
7,Aruba,2021,0,0
7,Aruba,2022,0,0
7,Aruba,2023,0,0
8,Australia,2009,0,0
8,Australia,2010,0,0
8,Australia,2011,0,0
8,Australia,2012,1317,11057
8,Australia,2013,767,5809
8,Australia,2014,618,3951
8,Australia,2015,235,1368
8,Australia,2016,594,2602
8,Australia,2017,595,2276
8,Australia,2018,0,0
8,Australia,2019,180,800
8,Australia,2020,144,503
8,Australia,2021,184,654
8,Australia,2022,0,0
8,Australia,2023,10,6
9,Bahamas,2009,0,0
9,Bahamas,2010,146,795
